17=B,19=G,23=A
|  | 4|  |13|  |12|  | 5|  |17|  |23|  |
| 3|23|20|11|25| 7|15|24|  | 4|15|14|14|
|  |10|  |24|  | 5|  |11|  |11|  |14|  |
|23|24|24|23| 6| 3|  |10| 4|11|14|18|16|
|  |  |  |18|  |12|  |  |  |20|  |16|  |
| 5| 6|11| 7|11| 4| 1|  |13|11|26|18|25|
|  |12|  |  |  |11|  | 2|  |  |  | 7|  |
|19| 7|23| 5| 3|  |25|15|22|17|23|19|12|
|  | 5|  | 9|  |  |  |22|  | 4|  |  |  |
| 5|11| 9|15|11|25|  |10|25|23| 6|18|13|
|  | 4|  |18|  |23|  |11|  |18|  | 4|  |
|12|26|11| 7|  | 8|12| 4|21| 5| 3|12|10|
|  |11|  |24|  | 7|  | 5|  |11|  | 7|  |
