24=H,26=A
| 8|26| 6| 6| 7| 5|16|  |26|25| 1| 5|10|
| 9|  | 7|  |16|  |24|  |15|  |17|  |26|
|14| 1|26| 2| 5|  | 1|11|24|26| 9|19| 6|
|18|  | 2|  |21|  | 6|  | 1|  |26|  | 1|
|26|14|26|15| 2| 7| 6|13|  |19| 6| 9|10|
| 2|  |  |  |26|  |21|  |12|  | 1|  |  |
| 4| 7|25|21| 5|21|  |12|26| 5|10|26|14|
|  |  | 7|  | 6|  |25|  | 2|  |  |  | 1|
| 6|21|25| 8|  |24|13|16| 7| 1| 5| 7|15|
|21|  | 7|  |20|  |19|  |26|  | 1|  | 6|
| 3| 7|15| 6| 9| 2| 1|  | 8|26| 7|23| 1|
| 7|  | 2|  |19|  |14|  |14|  |16|  | 2|
|15| 2|13| 3| 6|  |22| 2| 1|19|24| 1| 5|
