12=S,17=I
21, 3, 8, 8,17,16, 8,  ,22, 2,20,17, 6
 3,  ,20,  ,16,  ,17,  ,10,  , 3,  ,10
17,16, 2,14, 7,  ,23,11,15,15,10,22, 5
16,  ,10,  , 2,  ,23,  , 2,  , 7,  , 5
 7, 3,24, 3,22,22, 3,26,  ,26,25, 2, 1
20,  ,  ,  ,13,  ,16,  ,16,  , 2,  ,  
 1, 2, 3,24,10,16,  ,18, 3,16, 5,11, 2
  ,  ,23,  ,20,  ,12,  ,26,  ,  ,  ,10
13, 3,20, 7,  ,22, 2,14,10,17,22, 2,22
17,  ,17,  ,26,  ,19,  , 5,  ,10,  ,16
22, 2, 4,11, 2,12, 7,  ,10,20,17,13, 2
11,  ,11,  , 2,  , 3,  , 1,  ,12,  ,12
12,14, 2, 6, 9,  ,16, 3,12,17, 2,12, 7
