2=R,14=O,16=M
|16|14|25|19| 3|  |19|15|13|22|22|  |24|
|  | 2|  |  |23|25|22|  |20|  |14| 9|26|
|12|26|25|11|20|  |25|20|26| 2| 3|  | 2|
|23|  |16|  |  |  |17|  | 1|  |13|  |10|
|25|16|17| 2|14|16|17| 3|13|  |19|17| 5|
| 3|  |26|  | 8|  | 5|  |23|  |  |23|  |
|18|23|22| 3|26| 2|  |23|22|10|23|22|25|
|  | 4|  |  | 2|  | 4|  |22|  | 9|  | 4|
| 2|14| 3|  |26| 8|26| 2| 5|21|14| 4| 5|
|23|  |14|  | 7|  | 3|  |  |  |10|  |22|
| 6|  |14|17|26| 2|23|  | 9|18|26|26|22|
|14|13| 3|  | 2|  |15|23| 2|  |  | 5|  |
| 2|  |18|25| 3|15|18|  | 5|14|10|26| 4|
 
