14=R,22=A
|  |15|25| 1|24|24|  |24|14| 3|25|17|  |
|15|  |22|  |19|  |20|  |12|  |14|  |24|
|25| 1|14| 7| 3|  |19| 7| 2| 1|12| 1|14|
| 3|  |22|  | 1|  |22|  | 1|  |16|  | 3|
|18|22| 9|12|14|12|10|  |12| 6|12|25|11|
|19|  |22|  |  |  |12|  |15|  |  |  |23|
|  | 7| 8|16| 1|11|  |15|11|22|17|12|  |
|15|  |  |  | 8|  |22|  |  |  | 7|  |13|
|17|12|20|22|20|  |20| 3| 8|22| 8|26|22|
| 1|  | 3|  |19|  |13|  |12|  | 5|  |25|
| 8| 3| 4| 7| 3| 1|15|  |18| 7|10|11|23|
|17|  |12|  |25|  |15|  |12|  | 3|  |11|
|  |20|14|22|17|12|  |25|14| 1|21|20|  |
 
