1=H,10=A,18=L
|  |23|  |18|  |21|  |10|  |20|  | 5|  | 
|13|25| 1|10|18| 2| 8| 6|  |13|12|19| 4|
|  |13|  |15|  |26|  |23|  |16|  |21|  |
| 4| 8|23|23| 7|13|  | 6|23|16|18| 2| 8|
|  |  |  |19|  | 9|  |  |  |18|  |11|  |
|14|23|23|17|10| 6|13|  |11|15| 8| 2|11|
|  |26|  |  |  |13|  | 4|  |  |  |10|  |
|21|13| 8| 4|13|  |17|24| 2| 8| 3|18|15|
|  | 9|  |22|  |  |  |13|  |23|  |  |  |
| 2| 4| 4|19|13|21|  |10| 4|17| 9|10|15|
|  |13|  |10|  | 9|  |17|  | 2|  | 6|  |
|16|13|10|21|  | 2|11|13|16|23|25|13| 4|
|  | 9|  | 4|  |20|  |21|  | 8|  | 4|  |
