1=R,12=M,23=I
|17|18|20| 1|20|22|  |25| 3|17|11| 6| 5|
| 5|  |19|  | 6|  |17|  |18|  |19|  |18|
|10| 5|13|23|18|23|11|  | 9| 5|20|11| 9|
|20|  |21|  | 9|  | 3|  | 1|  |10|  | 3|
|11|21| 6| 6| 5|  | 3|24| 5| 1|10|21| 5|
| 5|  |  |  |12|  | 6|  |  |  | 6|  |10|
|  |24|23|16| 4| 6|  |15|21| 5| 5|16|  |
| 1|  |12|  |  |  |21|  |16|  |  |  | 5|
| 5|26|14| 1| 5|17|17|  |20|16| 2| 5| 6|
|24|  | 1|  |20|  | 9|  | 6|  | 1|  |10|
| 3|19|23|16| 2|  | 5|12|23| 1|20|11| 5|
| 8|  |16|  | 5|  | 1|  | 8|  | 7|  |17|
| 5|26|11| 3| 1|11|  |10| 5|18| 5|16|11| 
